X,Y,Z_ground_m,Z_sensor_m,Mag_anomaly_nT,FGrav_mgal
749064.69,6416762.50,384.78,61.64,-272.11,0.093
749052.13,6416805.00,384.98,63.38,-229.41,0.090
749036.56,6416837.50,385.17,64.65,-193.87,0.084
749023.00,6416870.50,385.27,63.70,-171.40,0.094
749016.00,6416901.00,385.37,62.18,-155.77,0.106
748994.63,6416927.00,385.19,60.67,-134.35,0.090
748979.06,6416946.50,385.01,59.65,-116.87,0.099
748975.25,6416981.50,384.83,58.08,-103.77,0.163
748953.88,6417011.00,384.56,56.49,-79.16,0.159
748942.94,6417046.00,384.28,54.76,-59.98,0.157
748930.50,6417084.50,384.01,52.81,-39.29,0.180
748910.00,6417101.00,384.72,52.57,-9.10,0.201
748900.25,6417128.00,385.43,53.45,31.17,0.220
748888.19,6417149.50,386.74,54.19,66.44,0.232
748885.25,6417181.00,386.98,54.85,113.88,0.254
748875.25,6417200.50,387.23,55.21,146.92,0.265
748865.63,6417236.50,387.48,55.95,203.56,0.275
748845.56,6417250.50,387.02,56.35,232.73,0.278
748826.00,6417284.50,386.56,56.87,288.56,0.271
748823.88,6417318.00,385.75,57.27,337.26,0.322
748812.50,6417347.50,384.94,57.65,382.26,0.347
748796.81,6417374.00,384.13,57.95,416.15,0.349
748784.94,6417391.00,383.32,57.78,437.65,0.348
748772.88,6417429.00,383.21,57.11,443.15,0.346
748763.63,6417472.00,383.10,56.36,445.87,0.286
748754.63,6417483.50,383.01,56.16,446.65,0.283
744684.76,6415304.50,366.10,56.50,-44.20,-0.025
744982.73,6415318.50,366.10,64.00,171.63,-0.064
745305.01,6415295.00,366.41,59.00,-79.52,-0.096
745890.96,6415317.50,368.32,54.10,-207.88,-0.096
746182.94,6415316.50,371.85,60.10,-240.86,-0.068
746501.55,6415315.50,368.75,61.10,-145.45,-0.099
746802.57,6415319.50,370.64,55.80,-174.43,-0.079
747079.66,6415299.00,372.56,55.30,-210.09,-0.059
747381.63,6415298.00,373.08,60.50,-244.44,-0.040
747680.43,6415316.00,380.27,66.40,-303.96,-0.020
747993.09,6415302.00,386.43,56.80,-317.06,-0.032
748288.18,6415294.00,387.48,56.00,-266.02,0.008
748600.02,6415298.50,388.93,58.90,-334.03,0.025
748889.54,6415318.00,392.32,54.00,-294.71,0.021
749187.38,6415304.00,395.67,53.00,-252.97,0.031
744703.49,6415409.50,367.53,57.19,-41.69,-0.076
744991.23,6415396.50,367.14,65.14,124.34,-0.071
